Component,Origin,License,Copyright
import,github.com/gorilla/websocket,BSD-2-Clause,
import,github.com/pkg/errors,BSD-2-Clause,
import,github.com/cloudfoundry/noaa,MIT,
import,github.com/gogo/protobuf,BSD-3-Clause,
import,github.com/cloudfoundry-incubator/uaago,Apache-2.0,"uaago Copyright (c) 2015-Present CloudFoundry.org Foundation, Inc. All Rights Reserved."
import,github.com/hashicorp/go-retryablehttp,MPL-2.0,
import,github.com/cloudfoundry/gosteno,Apache-2.0,
import,code.cloudfoundry.org/localip,Apache-2.0,"Copyright (c) 2015-Present CloudFoundry.org Foundation, Inc. All Rights Reserved."
import,code.cloudfoundry.org/go-loggregator,Apache-2.0,"Copyright (c) 2017-Present CloudFoundry.org Foundation, Inc. All Rights Reserved."
import,github.com/cloudfoundry-community/go-cfclient,MIT,
